# mfp(m) k_l(Wm-1K-1)
4.775327818453827462e-18 3.120208845089053309e-22
4.835798442861035929e-18 3.126403057873320099e-22
4.887802853112237827e-18 3.341547681994221623e-22
5.051420746377778969e-18 3.349000982734172304e-22
5.175833999980288680e-18 3.390587697667283104e-22
5.199120651913774425e-18 3.420616161575202778e-22
5.203017116124605581e-18 3.561089171217568913e-22
5.273445289529923823e-18 3.592517223440687339e-22
5.365873724065143288e-18 3.618896224964146133e-22
5.456499752022673195e-18 3.686106244053451831e-22
5.475835312004631147e-18 3.787195110673963381e-22
5.554799986012976821e-18 3.793992531016367825e-22
5.584600088604158460e-18 3.924970961398877994e-22
5.585657649724484217e-18 4.239359041063374758e-22
5.595244323568719334e-18 4.316171814816460048e-22
5.597894713584397151e-18 4.337390182709279004e-22
5.617421419154232769e-18 4.448054280237446467e-22
5.653833963188372345e-18 4.665318867114857462e-22
5.832202344116714032e-18 4.826199885434655327e-22
5.878935086309519148e-18 4.852324317142709120e-22
6.082188461151606515e-18 4.858224448354287043e-22
6.135001784626613031e-18 4.974183731392980844e-22
6.171413772991534416e-18 5.009415352999645012e-22
6.221249193093730476e-18 5.142499621448442087e-22
6.286634566028080158e-18 5.217159222443960913e-22
6.470633518185050278e-18 5.264477403239217719e-22
6.486544350624952050e-18 5.443662241796878947e-22
6.734701584845836163e-18 6.247299717281283855e-22
6.776421667259392754e-18 6.409472937665129792e-22
6.857197238005548847e-18 7.182447402277874856e-22
7.059628616179455656e-18 7.516669357131090337e-22
7.076678629739197541e-18 7.681933214202239764e-22
7.143880674400052040e-18 7.805525165213697520e-22
7.193413843101594777e-18 8.717993856034912763e-22
7.267210067829037689e-18 8.848346625465114271e-22
7.359879220431368728e-18 9.841145463539773489e-22
7.363755095618005654e-18 9.849858315949542849e-22
7.371253711643683886e-18 1.012534589034652990e-21
7.435555950668226459e-18 1.014354235624005391e-21
7.494141849468195774e-18 1.033119659788247599e-21
7.589762386500870090e-18 1.071813975704781141e-21
7.667465484357776606e-18 1.104467316156046896e-21
7.684440306927606144e-18 1.128776168476038543e-21
7.708849122595966662e-18 1.147318947198755882e-21
7.762612972176471061e-18 1.173009681649732205e-21
7.772327938078934908e-18 1.196333779118265845e-21
7.855666053531703667e-18 1.217102557286052634e-21
7.984382179709657081e-18 1.331321425138058939e-21
8.055417175425968747e-18 1.360584447502548215e-21
8.096733795804887523e-18 1.385247212087709961e-21
8.110395685092943565e-18 1.421127050895202384e-21
8.295309865456238730e-18 1.443963608059647468e-21
8.329386610104545358e-18 1.452429337697362753e-21
8.358371588175098124e-18 1.453536050115737280e-21
8.374774708823809531e-18 1.479599066281692861e-21
8.412743852245558984e-18 1.520956796667653782e-21
8.475398677544380615e-18 1.648864061656913249e-21
8.838814613622190117e-18 1.684330600564928988e-21
9.003331602868962449e-18 1.826670938294468050e-21
9.379754635100169011e-18 1.858808706181016404e-21
9.396031531565803000e-18 1.865652157851172483e-21
9.446817845445655144e-18 1.895484089072160605e-21
9.467273662790247283e-18 2.050998652187773929e-21
9.481709066710655322e-18 2.083022448369781075e-21
9.512919364146009676e-18 2.169741736526565009e-21
9.554055452240356320e-18 2.204488454973384773e-21
9.765568415172255970e-18 2.248967399177793642e-21
9.815286903502487180e-18 2.337294521944301534e-21
9.870702664759765071e-18 2.379129998078537385e-21
9.921223091625877101e-18 2.552584702353245464e-21
9.923991962429573189e-18 2.720473657553248827e-21
9.924125359247180310e-18 2.755016374011104783e-21
1.001471849413685966e-17 2.800270225984002053e-21
1.017845025848519765e-17 2.843382368641320668e-21
1.020678138242345683e-17 2.845664808747802534e-21
1.025319979502022099e-17 3.022736895619426697e-21
1.047085290237393946e-17 3.069540551793040139e-21
1.059580012122589955e-17 3.118543695875515361e-21
1.087975679560704298e-17 3.159475285644531357e-21
1.092890800295405414e-17 3.191953131532736279e-21
1.093520688448339816e-17 3.309381964096344937e-21
1.100546272720894081e-17 3.368631108410114755e-21
1.121378775246576868e-17 3.478599925444320561e-21
1.130361492079546012e-17 3.482524484611000278e-21
1.134166731954835140e-17 3.552712554027441714e-21
1.136552048456886700e-17 3.554653355106081074e-21
1.137773753367713006e-17 3.575600501503898442e-21
1.140509541933942481e-17 3.626736652957099985e-21
1.144652115965998419e-17 3.689945518795592469e-21
1.158121054250644785e-17 3.725253604788571516e-21
1.175221143667309182e-17 3.727618452843033981e-21
1.178015583883210076e-17 3.788445576432295148e-21
1.179497767986703353e-17 3.798612824497884202e-21
1.186331343620610919e-17 3.860851759332932325e-21
1.203313087878938781e-17 3.979298753402001020e-21
1.212888546325853254e-17 4.071464665636744100e-21
1.217879423617411752e-17 4.102064808940514543e-21
1.222397956614995028e-17 4.134149348680463621e-21
1.227769560259770902e-17 4.195669564246868997e-21
1.228937661889857952e-17 4.250494643902822169e-21
1.229786614390237112e-17 4.296456040699976723e-21
1.253622206149983154e-17 4.350087081258957085e-21
1.253704997776503928e-17 4.405751927215242995e-21
1.254524171156999170e-17 4.639465340656407114e-21
1.259996198056079640e-17 4.818040312786425087e-21
1.276233236899549091e-17 5.123886236097254604e-21
1.283478868207050122e-17 5.182865695001512851e-21
1.288333933268067744e-17 5.213331376719304992e-21
1.312269584011483415e-17 5.545150963593283326e-21
1.317724897125941854e-17 5.618627775896578130e-21
1.343820019720613887e-17 5.670956976736265515e-21
1.348357464385186810e-17 5.744336631679409520e-21
1.357482251806032656e-17 5.748429420831682456e-21
1.369096527033929875e-17 5.836266902241825316e-21
1.369692924302148824e-17 5.917834546060086352e-21
1.373150810658305741e-17 5.991460945174164950e-21
1.373246745286973286e-17 6.007824574029527666e-21
1.394037341487225713e-17 6.082822081675764282e-21
1.437052735977303494e-17 6.467264694807785994e-21
1.439297636334348096e-17 6.793714543001888566e-21
1.445946940171588245e-17 6.955793690989574082e-21
1.451261478993892700e-17 6.969998815040630630e-21
1.451825399784474739e-17 6.988258753118913043e-21
1.474114284869982631e-17 7.073466497343909665e-21
1.476269208623279536e-17 7.490952400184551152e-21
1.481523043281757860e-17 7.510049847390259538e-21
1.483617955345546256e-17 7.513203279790874017e-21
1.506967936907418461e-17 7.516453801424638294e-21
1.511918600334099495e-17 7.521981960679403960e-21
1.512689724735432479e-17 7.535685378306920878e-21
1.515627668287331897e-17 7.650332910446640319e-21
1.516015199893193392e-17 7.670844544757658642e-21
1.520190477612773837e-17 7.762215697524129929e-21
1.535924045483636673e-17 7.800403996592549262e-21
1.536825066430938393e-17 7.831278313160618730e-21
1.546147733662545354e-17 7.931674038971024793e-21
