# Frequency(THz) k_l(Wm-1K-1)
1.199929869412494687e+00 6.801236680934098722e+00
1.200914942628391380e+00 6.801610617880329279e+00
1.201780313660840704e+00 6.808681455661980131e+00
1.202962153543964741e+00 6.831056193574993607e+00
1.203298686700056352e+00 6.831056193574993607e+00
1.207297268988840822e+00 6.831056193574993607e+00
1.208545943972254788e+00 6.831546117236220184e+00
1.209237023194756011e+00 6.852455889168666658e+00
1.210453307628270192e+00 6.852455889168666658e+00
1.212953990590309949e+00 6.852455889168666658e+00
1.214367013854027455e+00 6.866706213449684348e+00
1.214378777213864558e+00 6.878483855630084243e+00
1.216154874070618508e+00 6.895772436351711221e+00
1.219322719561358959e+00 6.910018064355884171e+00
1.219459926205409328e+00 6.942328688034963058e+00
1.220510894602580887e+00 6.964582544388131069e+00
1.222095747724991854e+00 6.986852779606901542e+00
1.222195792531875380e+00 6.988557493730850112e+00
1.223040868968980677e+00 6.988557493730850112e+00
1.224118605496869128e+00 6.989451913615280176e+00
1.225814158886534999e+00 7.011859113511679453e+00
1.226327460672250513e+00 7.013618979765431583e+00
1.228719692953875509e+00 7.026868235308437960e+00
1.229459372092756908e+00 7.026868235308437960e+00
1.229627043324770463e+00 7.043123765028607153e+00
1.230877740424466182e+00 7.044964793502539457e+00
1.233455654137258550e+00 7.045522877816346785e+00
1.235935138553061696e+00 7.045522877816346785e+00
1.236681748694838934e+00 7.047067747946615945e+00
1.237845175059457237e+00 7.047067747946615945e+00
1.242659136670792419e+00 7.047067747946615945e+00
1.243508417679618283e+00 7.061151043631926250e+00
1.245788172137466177e+00 7.077134176612251970e+00
1.246641623533387921e+00 7.102634781534801434e+00
1.247249226670370081e+00 7.106861309559933559e+00
1.253875669034838047e+00 7.108611823012263464e+00
1.255116298057798563e+00 7.134521422707917893e+00
1.257690647656341421e+00 7.143722345508236593e+00
1.257777919714563986e+00 7.145384102460185183e+00
1.258024782927004814e+00 7.155374760985721672e+00
1.258371446192440013e+00 7.156122386943771119e+00
1.259921257495513425e+00 7.182539198197085639e+00
1.261082159289975246e+00 7.183650234414552749e+00
1.264120757253489158e+00 7.183650234414552749e+00
1.264646606508612825e+00 7.210324034149540928e+00
1.268382780691207357e+00 7.214175683843098597e+00
1.274663277801633354e+00 7.234317077050411271e+00
1.276974205803483642e+00 7.234317077050411271e+00
1.278009907040139614e+00 7.259427770731242013e+00
1.281332146518174175e+00 7.266179351046926804e+00
1.281848088711542433e+00 7.267461756466635947e+00
1.282993341507950413e+00 7.272641132994354329e+00
1.284200929269752933e+00 7.277695507751197113e+00
1.285111991373838025e+00 7.294987022211039118e+00
1.288310781428879448e+00 7.307014714283329937e+00
1.288683042167497961e+00 7.312416256031235129e+00
1.289186327687531053e+00 7.352649822085957076e+00
1.291802785465583137e+00 7.358181961036456720e+00
1.293201264663223604e+00 7.363811177463722046e+00
1.293527565403388868e+00 7.369716715415222552e+00
1.293956444422451391e+00 7.408336851056865235e+00
1.297017239672925371e+00 7.413988471990898610e+00
1.297938135108421154e+00 7.430103831817872262e+00
1.298786096617574382e+00 7.430717464975026054e+00
1.299082633017051069e+00 7.430717464975026054e+00
1.299842869998615980e+00 7.456033157755134866e+00
1.301114453151006378e+00 7.456033157755134866e+00
1.302632526358114440e+00 7.467298851978871888e+00
1.302931978837739369e+00 7.472289635088150028e+00
1.306856557135321673e+00 7.510769148496176939e+00
1.308183026193181497e+00 7.510769148496176939e+00
1.311538265452291352e+00 7.510769148496176939e+00
1.311739519366361240e+00 7.510982505178792401e+00
1.312995406345487392e+00 7.522302356170655457e+00
1.314050472069116182e+00 7.543294020420972856e+00
1.314853338869585331e+00 7.566572289071941348e+00
1.316098873320372453e+00 7.566805469282843255e+00
1.317328377531788997e+00 7.571692575647564816e+00
1.317792413848295485e+00 7.574211961109389435e+00
1.319404925916353610e+00 7.579612350110886076e+00
1.319484154127647191e+00 7.596452835210317112e+00
1.319690605786590476e+00 7.596699806708190117e+00
1.320003111260320328e+00 7.597944425112206801e+00
1.320236383264653091e+00 7.603524601581159281e+00
1.321340904194967525e+00 7.841158493718475064e+00
1.327871965331801851e+00 7.862609683639509406e+00
1.329347357328134027e+00 7.980731063864570096e+00
1.335345442581314490e+00 8.020231681121355649e+00
1.336802014472436850e+00 8.060817275497578649e+00
1.342739511256463070e+00 8.102170355530933676e+00
1.343972637007057491e+00 8.102170355530933676e+00
1.343990016001156862e+00 8.108583671642593416e+00
1.346424884456697280e+00 8.124412413974830827e+00
1.346846606726305406e+00 8.150854235671216586e+00
1.348150219709084663e+00 8.163945007797069664e+00
1.351500529208076840e+00 8.163945007797069664e+00
1.353459498820405171e+00 8.179609542544904244e+00
1.353494191284253079e+00 8.182173190897204407e+00
1.354409404249771409e+00 8.204536583008266604e+00
1.356361405861671532e+00 8.206395638661087233e+00
1.357231360923898844e+00 8.220253127342312283e+00
1.357640762125134737e+00 8.235202115674089995e+00
1.357673338069534497e+00 8.237846274294415849e+00
1.357941318725926161e+00 8.238558960297829969e+00
1.358357520219881209e+00 8.249820316400503728e+00
1.359014622716366860e+00 8.250044640469136326e+00
1.361079344733821195e+00 8.252039743723290854e+00
1.361747003663451583e+00 8.252039743723290854e+00
1.363158782293963700e+00 8.292354111542456607e+00
1.364699348755086250e+00 8.308270588035556514e+00
1.364796504912056507e+00 8.329598680895662355e+00
1.368986882028222718e+00 8.349052875697426046e+00
1.369706083998016855e+00 8.349309170535407887e+00
1.370303247505882061e+00 8.359877567392501874e+00
1.371022547734463970e+00 8.380219553525739329e+00
1.372607173439194250e+00 8.395665768117137162e+00
1.375474675592192497e+00 8.406746905436657258e+00
1.376180754585162980e+00 8.428785062494620561e+00
1.378039289220436059e+00 8.444369302760030394e+00
1.378230668292667938e+00 8.464182711023275019e+00
1.379327689647268596e+00 8.485713647270769044e+00
1.379792003461386196e+00 8.496770524292507787e+00
1.380091398915666234e+00 8.500949408755980485e+00
1.380358505810533654e+00 8.522330854094370522e+00
1.384059809687642639e+00 8.522330854094370522e+00
1.385620308111709109e+00 8.544086362063021411e+00
1.385934603302596546e+00 8.544086362063021411e+00
1.389340421550323335e+00 8.553048699832867641e+00
1.390351422252693814e+00 8.592376718543777159e+00
1.390593102313035789e+00 8.601435947868978360e+00
1.391731843526350376e+00 8.601435947868978360e+00
1.393325673093599670e+00 8.636353850895533313e+00
1.393578120047801017e+00 8.648976851819595524e+00
1.394263953899335773e+00 8.661417586460258278e+00
1.394653700905508220e+00 8.661417586460258278e+00
1.394912547708386796e+00 8.671340660588166216e+00
1.395462019628469275e+00 8.673803570753868541e+00
1.396644875822356413e+00 8.683102461985557241e+00
1.400115997542421775e+00 8.683102461985557241e+00
1.400427439345236058e+00 8.683102461985557241e+00
1.402734503639383457e+00 8.696778160868948504e+00
1.403022908479343300e+00 8.731895483448251838e+00
1.403033722898823665e+00 8.731895483448251838e+00
1.403235098558107019e+00 8.758008774893921711e+00
1.404318777203368063e+00 8.767106295188638043e+00
1.404654749682737291e+00 8.767106295188638043e+00
1.406509104316028047e+00 8.767106295188638043e+00
1.407694060362412403e+00 8.769763948909606199e+00
1.409538023816518493e+00 8.774562762757907919e+00
1.410274306426876567e+00 8.778843911328392480e+00
1.413311155512622541e+00 8.785446879997852676e+00
1.413660808622710929e+00 8.785446879997852676e+00
1.413916606258059927e+00 8.794446588562825795e+00
1.414397534919375587e+00 8.795163842984369040e+00
1.414449461357474291e+00 8.804707628778714934e+00
1.415966257645872250e+00 8.842073532159783866e+00
1.416273282636526520e+00 8.843149873192084343e+00
1.419009450378024173e+00 8.876365377597164041e+00
1.420765793568635527e+00 8.877062394501658460e+00
1.421012760225825344e+00 8.961254472000796056e+00
1.422071752242180409e+00 8.972376733750495603e+00
1.422289582713678335e+00 8.973571193667126522e+00
1.422564258512990065e+00 8.973571193667126522e+00
1.424887275867513292e+00 8.974582282962099811e+00
1.425098768711220210e+00 8.988739070235594042e+00
1.426892968972814923e+00 8.989802872594268024e+00
1.428166398681129490e+00 9.157403364434479442e+00
1.428691965488599447e+00 9.157403364434479442e+00
1.429155965615618751e+00 9.177088437906187224e+00
1.429858498736439332e+00 9.197829237718044837e+00
1.430408033330037965e+00 9.211677281566380771e+00
1.431838036556361660e+00 9.212455995005941034e+00
1.433919220120044136e+00 9.233480758654547316e+00
1.434084714940172756e+00 9.233966289283424445e+00
1.435030614083516731e+00 9.233966289283424445e+00
1.436424000092489273e+00 9.233966289283424445e+00
1.439290054644384087e+00 9.255264260605848392e+00
1.440851339129705311e+00 9.255264260605848392e+00
1.444487175507705778e+00 9.265267864914161322e+00
1.446481319528561515e+00 9.266057095255936460e+00
1.448683897178256741e+00 9.266551064902108337e+00
1.449120206454157733e+00 9.276674449734263916e+00
1.452108012213933153e+00 9.276674449734263916e+00
1.453236776986250423e+00 9.310448573329074051e+00
1.455860860586007277e+00 9.314012983338994189e+00
1.456218012258645444e+00 9.315194110331166399e+00
1.456867183892546880e+00 9.321396430090885588e+00
1.458967284376392781e+00 9.322228987779498155e+00
1.459094243390538725e+00 9.338465883933837475e+00
1.459563914577607813e+00 9.348240579741265321e+00
1.462745209870895513e+00 9.348240579741265321e+00
1.464756611141690534e+00 9.352734158081839055e+00
1.465204421100011922e+00 9.353278705041180530e+00
1.468362844108280330e+00 9.387887871176845422e+00
1.468577837640924644e+00 9.403319388512725752e+00
1.468754984112403683e+00 9.405751776214813731e+00
1.469945881819997080e+00 9.426422603160000691e+00
1.472418514148342794e+00 9.433830591395899745e+00
1.476095988621850319e+00 9.438353518694418298e+00
1.476246944723727861e+00 9.441887721848779336e+00
1.476381220569590313e+00 9.446462060357969648e+00
1.476987342826261429e+00 9.446462060357969648e+00
1.477341565859813022e+00 9.499370440975182461e+00
1.478922071550257344e+00 9.502466971176955823e+00
1.479208745621373389e+00 9.554860754938481193e+00
1.479894072946903671e+00 9.582494191995042598e+00
1.480908776502567248e+00 9.603646003274056042e+00
1.482005961254441173e+00 9.604047823005641860e+00
1.482382138455494713e+00 9.613178314377123002e+00
1.482732791352266544e+00 9.616564183242653385e+00
1.482765286640012503e+00 9.619296078119303317e+00
1.482777701509618851e+00 9.622979324275943824e+00
1.484935262248222809e+00 9.626453991277347910e+00
1.485151406851794809e+00 9.681090880497571050e+00
1.488433643599009981e+00 9.681090880497571050e+00
1.493046957657274021e+00 9.714786242272914762e+00
1.493579671471067183e+00 9.723348153321035525e+00
1.495266856923278764e+00 9.741171103008728238e+00
1.495568761176671257e+00 9.757141300743809254e+00
1.495791685987343911e+00 9.766493511187446686e+00
1.495810287139006878e+00 9.767283828854370853e+00
1.497066780359366689e+00 9.770454963717387642e+00
1.498239235629690747e+00 9.773332023664233148e+00
1.499572323198693491e+00 9.792655504173577441e+00
1.500409360215015253e+00 9.808800365569149804e+00
1.501045192419176111e+00 9.808800365569149804e+00
1.503241539593512366e+00 9.809500780544611942e+00
1.506450393193627724e+00 9.824905694103540199e+00
1.507301796436220531e+00 9.825027341995689056e+00
1.508824272201069627e+00 9.854547790624657466e+00
1.510513777280884540e+00 9.883419346327150024e+00
1.511061633499990453e+00 9.896356729120020290e+00
1.511404523803568711e+00 9.913367088460185883e+00
1.511665354570138620e+00 9.916480104104374860e+00
1.511985852530999264e+00 9.927876851384684898e+00
1.513382787042040212e+00 9.931285726100771427e+00
1.514546476176377166e+00 9.945260422477867124e+00
1.515120172253903164e+00 9.949465054599111014e+00
1.516093093633645639e+00 9.970327168662233674e+00
1.516505373926837485e+00 9.980793017302254100e+00
1.517292727363328098e+00 1.000872728009385071e+01
1.518329287899534918e+00 1.002453924074141511e+01
1.520210391060755839e+00 1.004046696257909055e+01
1.521016954532664611e+00 1.004046696257909055e+01
1.522732339806948998e+00 1.005221942329389151e+01
1.523749489868880591e+00 1.006845112196228698e+01
1.524035553849890867e+00 1.006845112196228698e+01
1.526837914863583334e+00 1.006856406578806151e+01
1.527532037680887633e+00 1.008619493694085278e+01
1.527640368709546781e+00 1.010444535536240807e+01
1.527755599775967310e+00 1.011004056941133378e+01
1.528225164445589090e+00 1.012152739594409567e+01
1.530023091554614467e+00 1.012164401742521136e+01
1.530084694538809575e+00 1.015286674113867704e+01
1.530260049565835612e+00 1.016960754417596036e+01
1.533708563355740129e+00 1.018699845516220748e+01
1.534429619885985474e+00 1.019568349995120471e+01
1.534865779395596430e+00 1.020707951415628223e+01
1.535030259062838853e+00 1.020831197670521462e+01
1.537445050526309309e+00 1.020967634508985356e+01
1.539228746941673442e+00 1.021931626526954062e+01
1.541731827989866854e+00 1.023739866574953261e+01
1.544560444515291620e+00 1.024565191399236141e+01
1.548013684985856564e+00 1.026399804953203621e+01
1.548601194488105515e+00 1.026399804953203621e+01
1.549967097475876576e+00 1.028102098395975084e+01
1.550129449831556094e+00 1.028382316033842692e+01
1.551397233355010119e+00 1.029024042691592911e+01
1.551670450355720154e+00 1.030650458843820694e+01
1.551928238696215656e+00 1.031482346663603167e+01
1.552474350307873285e+00 1.033700114572904560e+01
1.553448252004610453e+00 1.034082717899661041e+01
1.553839389940640636e+00 1.034204193177056830e+01
1.555327052598673987e+00 1.035752873416387843e+01
1.555973144450746304e+00 1.036455905999571137e+01
1.557398081286662350e+00 1.036578384930895780e+01
1.558575767948444213e+00 1.036592831003781079e+01
1.563566915653344713e+00 1.037760679885331960e+01
1.564104927277487178e+00 1.038476656247229535e+01
1.566024179751368317e+00 1.041402541638187529e+01
1.566885845595381355e+00 1.042035548376934351e+01
1.567490388941326529e+00 1.042682864898245931e+01
1.570906872664858733e+00 1.042682864898245931e+01
1.571143915271684399e+00 1.043287755098483949e+01
1.571177589539991537e+00 1.044735712727515065e+01
1.571184269728824079e+00 1.044735712727515065e+01
1.572544066514252714e+00 1.046757069072355151e+01
1.572711292276415929e+00 1.047811802180878260e+01
1.573207361916415303e+00 1.048641368208533642e+01
1.573310333684862616e+00 1.049113409270514552e+01
1.573323338365764767e+00 1.049712670586167107e+01
1.574051172872687365e+00 1.050369998695969187e+01
1.574221976539351253e+00 1.050369998695969187e+01
1.575625048540116424e+00 1.050369998695969187e+01
1.576830677666299474e+00 1.050369998695969187e+01
1.579632395550943036e+00 1.050381608627184704e+01
1.580848760425894728e+00 1.050381608627184704e+01
1.580910811439349528e+00 1.051760786029498185e+01
1.581219100674806421e+00 1.052341972450789420e+01
1.582365196099532412e+00 1.052355725500688521e+01
1.582945395413427603e+00 1.052394948195875557e+01
1.583570071090347753e+00 1.052394948195875557e+01
1.585289274579140040e+00 1.054846718995741739e+01
1.586712494352397362e+00 1.056524563316352960e+01
1.587059014082496722e+00 1.056524563316352960e+01
1.587686864484333160e+00 1.057277176539073515e+01
1.587804358855361420e+00 1.058257037307006954e+01
1.589295609617392691e+00 1.058257037307006954e+01
1.592431220452392715e+00 1.061564250690108935e+01
1.594465199521126308e+00 1.061564250690108935e+01
1.595155764920675567e+00 1.061663041582452216e+01
1.595982093042261019e+00 1.062288541909066986e+01
1.597281660927192481e+00 1.064182269895315791e+01
1.597953023776444104e+00 1.065814590805664253e+01
1.598055439076853323e+00 1.065872709195484269e+01
1.598365508981443917e+00 1.068502347568099253e+01
1.598542795755560908e+00 1.068502347568099253e+01
1.598569333026768291e+00 1.068502347568099253e+01
1.598608037383215441e+00 1.068502347568099253e+01
1.600962070742870891e+00 1.068560934685790542e+01
1.601494837711178842e+00 1.070205718529310168e+01
1.601966777200719338e+00 1.072117258830075315e+01
1.602785356699576003e+00 1.072660392039851907e+01
