# Frequency(THz) k_l(Wm-1K-1)
1.394912547708386796e+00 8.060178776566846892e+00
1.395462019628469275e+00 8.062393956659423822e+00
1.396644875822356413e+00 8.071425942768868822e+00
1.400115997542421775e+00 8.075328085460547811e+00
1.400427439345236058e+00 8.097166329360598880e+00
1.402734503639383457e+00 8.097166329360598880e+00
1.403022908479343300e+00 8.100026060160875119e+00
1.403033722898823665e+00 8.101568393590872219e+00
1.403235098558107019e+00 8.128445037931648187e+00
1.404318777203368063e+00 8.131569215007534268e+00
1.404654749682737291e+00 8.136858757771991080e+00
1.406509104316028047e+00 8.141096546571972681e+00
1.407694060362412403e+00 8.160306423338388626e+00
1.409538023816518493e+00 8.195456623126116114e+00
1.410274306426876567e+00 8.212801745952440058e+00
1.413311155512622541e+00 8.212801745952440058e+00
1.413660808622710929e+00 8.217691315452581691e+00
1.413916606258059927e+00 8.240888953743716883e+00
1.414397534919375587e+00 8.285861045872239927e+00
1.414449461357474291e+00 8.285861045872239927e+00
1.415966257645872250e+00 8.290709325109244077e+00
1.416273282636526520e+00 8.298913400235703008e+00
1.419009450378024173e+00 8.299100217151760717e+00
1.420765793568635527e+00 8.301433735052393459e+00
1.421012760225825344e+00 8.301433735052393459e+00
1.422071752242180409e+00 8.314437852876533697e+00
1.422289582713678335e+00 8.322453622809801388e+00
1.422564258512990065e+00 8.340598281853669249e+00
1.424887275867513292e+00 8.350645124453242474e+00
1.425098768711220210e+00 8.382801589979994361e+00
1.426892968972814923e+00 8.391257842470173145e+00
1.428166398681129490e+00 8.597032660670494764e+00
1.428691965488599447e+00 8.609470003610162792e+00
1.429155965615618751e+00 8.621535346572230196e+00
1.429858498736439332e+00 8.622741903265747965e+00
1.430408033330037965e+00 8.637730333359003865e+00
1.431838036556361660e+00 8.648007018273505153e+00
1.433919220120044136e+00 8.651216008013483005e+00
1.434084714940172756e+00 8.687768624664787609e+00
1.435030614083516731e+00 8.706809999712827874e+00
1.436424000092489273e+00 8.707069044608820363e+00
1.439290054644384087e+00 8.715172591902231147e+00
1.440851339129705311e+00 8.733914430760075120e+00
1.444487175507705778e+00 8.738303462797746946e+00
1.446481319528561515e+00 8.762197728534346197e+00
1.448683897178256741e+00 8.762983564045423890e+00
1.449120206454157733e+00 8.772014149645595893e+00
1.452108012213933153e+00 8.785122673270645777e+00
1.453236776986250423e+00 8.791362543474654956e+00
1.455860860586007277e+00 8.791362543474654956e+00
1.456218012258645444e+00 8.828609005347454186e+00
1.456867183892546880e+00 8.828609005347454186e+00
1.458967284376392781e+00 8.864748637928205000e+00
1.459094243390538725e+00 8.894348614788020413e+00
1.459563914577607813e+00 8.894348614788020413e+00
1.462745209870895513e+00 8.894348614788020413e+00
1.464756611141690534e+00 8.936342544431827406e+00
1.465204421100011922e+00 8.961485777287316878e+00
1.468362844108280330e+00 8.970390693577938279e+00
1.468577837640924644e+00 8.970390693577938279e+00
1.468754984112403683e+00 8.971162080960327856e+00
1.469945881819997080e+00 8.977951996780625166e+00
1.472418514148342794e+00 8.992810009657558723e+00
1.476095988621850319e+00 8.992810009657558723e+00
1.476246944723727861e+00 9.000171939266126131e+00
1.476381220569590313e+00 9.000171939266126131e+00
1.476987342826261429e+00 9.007027833794962746e+00
1.477341565859813022e+00 9.053901938654453474e+00
1.478922071550257344e+00 9.087215607599901546e+00
1.479208745621373389e+00 9.288730739790272750e+00
1.479894072946903671e+00 9.291753637980052716e+00
1.480908776502567248e+00 9.293770387296451219e+00
1.482005961254441173e+00 9.293770387296451219e+00
1.482382138455494713e+00 9.295249695623242658e+00
1.482732791352266544e+00 9.304129555867413970e+00
1.482765286640012503e+00 9.316659648463325283e+00
1.482777701509618851e+00 9.324154792956591109e+00
1.484935262248222809e+00 9.331831815055508628e+00
1.485151406851794809e+00 9.787146066953681611e+00
1.488433643599009981e+00 9.805097125697512794e+00
1.493046957657274021e+00 9.814841946545557860e+00
1.493579671471067183e+00 9.814841946545557860e+00
1.495266856923278764e+00 9.815525347790789112e+00
1.495568761176671257e+00 9.820373360256841266e+00
1.495791685987343911e+00 9.834584447842647847e+00
1.495810287139006878e+00 9.847946218008386765e+00
1.497066780359366689e+00 9.849863692201713761e+00
1.498239235629690747e+00 9.871342618762897203e+00
1.499572323198693491e+00 9.876484095037417532e+00
1.500409360215015253e+00 9.882269384193886452e+00
1.501045192419176111e+00 9.886200753614668102e+00
1.503241539593512366e+00 9.922221454108568039e+00
1.506450393193627724e+00 9.924036427403816418e+00
1.507301796436220531e+00 9.931697289283803798e+00
1.508824272201069627e+00 9.932991796318468403e+00
1.510513777280884540e+00 9.940485919002213677e+00
1.511061633499990453e+00 9.941380490000923942e+00
1.511404523803568711e+00 9.962448893513450088e+00
1.511665354570138620e+00 9.996787419857991353e+00
1.511985852530999264e+00 1.000337451577992454e+01
1.513382787042040212e+00 1.002290945356809360e+01
1.514546476176377166e+00 1.004936530284035889e+01
1.515120172253903164e+00 1.008393083917773225e+01
1.516093093633645639e+00 1.009201146933876814e+01
1.516505373926837485e+00 1.010877082711242814e+01
1.517292727363328098e+00 1.012612314746548847e+01
1.518329287899534918e+00 1.013377672462055656e+01
1.520210391060755839e+00 1.013711747226126114e+01
1.521016954532664611e+00 1.014393214919274477e+01
1.522732339806948998e+00 1.016803252014283743e+01
1.523749489868880591e+00 1.018513653940907204e+01
1.524035553849890867e+00 1.018701075664333722e+01
1.526837914863583334e+00 1.020004946736514206e+01
1.527532037680887633e+00 1.020834035721631494e+01
1.527640368709546781e+00 1.021167572063510853e+01
1.527755599775967310e+00 1.022539065166802885e+01
1.528225164445589090e+00 1.023405755920231641e+01
1.530023091554614467e+00 1.023775702822013933e+01
1.530084694538809575e+00 1.024845432704869452e+01
1.530260049565835612e+00 1.024912952151716716e+01
1.533708563355740129e+00 1.025048029227051494e+01
1.534429619885985474e+00 1.025184339812470569e+01
1.534865779395596430e+00 1.027099500881095651e+01
1.535030259062838853e+00 1.027795630549172223e+01
1.537445050526309309e+00 1.027795630549172223e+01
1.539228746941673442e+00 1.028457509125941804e+01
1.541731827989866854e+00 1.028972363941854873e+01
1.544560444515291620e+00 1.028972363941854873e+01
1.548013684985856564e+00 1.030136351135641526e+01
1.548601194488105515e+00 1.030136351135641526e+01
1.549967097475876576e+00 1.030383350163548606e+01
1.550129449831556094e+00 1.031623961644277365e+01
1.551397233355010119e+00 1.031657762301796843e+01
1.551670450355720154e+00 1.032574074085050064e+01
1.551928238696215656e+00 1.032574074085050064e+01
1.552474350307873285e+00 1.032645798217948396e+01
1.553448252004610453e+00 1.036064562444179948e+01
1.553839389940640636e+00 1.037260499908195399e+01
1.555327052598673987e+00 1.037260499908195399e+01
1.555973144450746304e+00 1.037260499908195399e+01
1.557398081286662350e+00 1.037593203537132602e+01
1.558575767948444213e+00 1.037593203537132602e+01
1.563566915653344713e+00 1.040715811040978345e+01
1.564104927277487178e+00 1.043298971028935895e+01
1.566024179751368317e+00 1.044148960662173131e+01
1.566885845595381355e+00 1.045299298331645410e+01
1.567490388941326529e+00 1.045919799661327154e+01
1.570906872664858733e+00 1.045919799661327154e+01
1.571143915271684399e+00 1.046682876145683849e+01
1.571177589539991537e+00 1.047857141112103641e+01
1.571184269728824079e+00 1.049254300112287908e+01
1.572544066514252714e+00 1.051763936342418759e+01
1.572711292276415929e+00 1.051763936342418759e+01
1.573207361916415303e+00 1.051763936342418759e+01
1.573310333684862616e+00 1.051763936342418759e+01
1.573323338365764767e+00 1.052441797509632870e+01
1.574051172872687365e+00 1.053139644400223673e+01
1.574221976539351253e+00 1.053543869759222140e+01
1.575625048540116424e+00 1.053853560760462926e+01
1.576830677666299474e+00 1.072427955935849297e+01
1.579632395550943036e+00 1.073605739544726312e+01
1.580848760425894728e+00 1.073734173688996130e+01
1.580910811439349528e+00 1.074475650153488360e+01
1.581219100674806421e+00 1.076320822375466157e+01
1.582365196099532412e+00 1.076662353336211631e+01
1.582945395413427603e+00 1.079463667750025202e+01
1.583570071090347753e+00 1.079777872413682971e+01
1.585289274579140040e+00 1.080857326039024358e+01
1.586712494352397362e+00 1.081721626347716558e+01
1.587059014082496722e+00 1.082352144355812662e+01
1.587686864484333160e+00 1.082555539019137392e+01
1.587804358855361420e+00 1.083798418935898233e+01
1.589295609617392691e+00 1.083902436108611944e+01
1.592431220452392715e+00 1.084015852470012575e+01
1.594465199521126308e+00 1.084936870199022074e+01
