# mfp(m) k_l(Wm-1K-1)
2.042944444570292646e-17 1.791812629897352580e-20
2.086860259534634465e-17 1.879139725840615478e-20
2.099264949356108311e-17 1.887031594549674338e-20
2.099455569761173381e-17 1.975410548713942265e-20
2.109383157810894873e-17 1.985452961569631142e-20
2.111528817141194674e-17 2.041581566064859041e-20
2.111579594550129956e-17 2.059657728791928097e-20
2.116116527508405725e-17 2.146522662220597822e-20
2.122800913605992021e-17 2.235025601970291732e-20
2.127380867202407928e-17 2.247393360952852094e-20
2.135091541369750792e-17 2.266057141051432776e-20
2.145256419918060393e-17 2.302965976977984917e-20
2.163949645426695891e-17 2.311656327062079863e-20
2.197107228430450259e-17 2.403782867822024672e-20
2.229760092516639444e-17 2.461163467859531298e-20
2.230725188003545412e-17 2.501332462720276100e-20
2.232673393583016086e-17 2.507997139931651557e-20
2.245600577617704224e-17 2.554075982055200110e-20
2.257149861382386988e-17 2.568212548892275178e-20
2.258571329166028213e-17 2.570186500412863046e-20
2.265412935549475583e-17 2.593468604961426596e-20
2.271287941060629330e-17 2.607246893894288864e-20
2.272492185442918910e-17 2.624428467762813285e-20
2.297611159137865086e-17 2.721437184122427964e-20
2.303217728105849129e-17 2.728724536359335404e-20
2.305804079334770322e-17 2.806815538580540001e-20
2.311202624812025218e-17 2.854238646849847893e-20
2.328233384078319595e-17 2.862233722960910193e-20
2.332156681282543220e-17 2.866974978293343748e-20
2.423421335247964151e-17 2.893344253649895306e-20
2.452979381221200672e-17 2.929712701542777541e-20
2.461176998584723089e-17 2.993853424793723913e-20
2.472429183678108060e-17 2.994830472242809200e-20
2.481380437575533318e-17 3.008891047716656056e-20
2.491474586679489918e-17 3.016269506704930772e-20
2.501335214511306360e-17 3.023355102071154761e-20
2.546902411803476708e-17 3.025463602597570626e-20
2.552859501533431817e-17 3.044605837831781561e-20
2.562351883603629086e-17 3.050246777905775967e-20
2.594854578782969284e-17 3.124656036658743318e-20
2.634533242164298387e-17 3.210241886488621982e-20
2.692136893827924584e-17 3.247289487058276212e-20
2.695329877080469638e-17 3.304166491144922414e-20
2.697220875944552505e-17 3.332933514464613109e-20
2.702288922979419453e-17 3.337819760407087340e-20
2.705432376975663439e-17 3.359164436578781591e-20
2.734896821892506828e-17 3.362498113116389682e-20
2.756659573642570938e-17 3.396889992377752115e-20
2.758061914629991960e-17 3.403143158895531776e-20
2.770743527224472151e-17 3.499650880713161984e-20
2.772371522000218562e-17 3.610589031484466861e-20
2.774184736011736823e-17 3.784202408287296615e-20
2.790314344568320750e-17 3.793345437994144379e-20
2.796926089649484878e-17 3.860648405525175376e-20
2.804886423041575110e-17 3.872545855053845514e-20
2.820117519589048742e-17 3.994848392205687849e-20
2.824930121088998899e-17 4.119043040496232805e-20
2.834769853271732554e-17 4.185984925285827424e-20
2.840570602950238089e-17 4.245243681144211870e-20
2.867366583218818944e-17 4.399134487961181342e-20
2.905691879622353076e-17 4.554046106403104552e-20
2.916241732455913858e-17 4.642205834719712892e-20
2.919620182000326620e-17 4.688577727453298875e-20
2.927838144865170509e-17 4.700805636639875795e-20
2.933191194843932151e-17 4.722660637065294358e-20
2.958412655155339112e-17 4.753745989868443989e-20
2.972858668336213116e-17 4.759191218214962190e-20
2.976240286089226000e-17 4.773163059648595312e-20
2.984856860940748331e-17 4.794503247317820069e-20
2.986687386130428729e-17 4.843260113789268981e-20
3.003011934600705807e-17 4.885305410042828837e-20
3.006373884383389580e-17 5.046576768302648479e-20
3.008770436574097906e-17 5.103722651855880510e-20
3.023451115881229688e-17 5.216002616551293409e-20
3.026067153676168120e-17 5.251910803264377416e-20
3.041471540333093526e-17 5.332264943672003694e-20
3.049136769451043551e-17 5.397342379542007385e-20
3.096322467522772828e-17 5.445003136601577978e-20
3.097055444768120610e-17 5.666150718213564832e-20
3.126850981112976747e-17 5.868088922847942772e-20
3.131166320820204718e-17 5.883344835033069893e-20
3.141233880970287877e-17 5.966336271845619650e-20
3.149424395342377864e-17 6.133846102238274054e-20
3.154988346712759901e-17 6.165154245038360762e-20
3.184221200198648913e-17 6.170230065922119314e-20
3.190346617196313332e-17 6.195615608628348643e-20
3.191972874074860517e-17 6.254256472152066299e-20
3.206770338852388825e-17 6.283172893491872223e-20
3.211847116383826647e-17 6.291951577586148669e-20
3.233829508598642191e-17 6.314309560815254872e-20
3.240512610949527094e-17 6.362239558045313952e-20
3.251424264364088805e-17 6.367244044021681535e-20
3.269747289222784113e-17 6.423348134534348633e-20
